sample_name,library,parent
3D7,parent_reference,none
HB3,parent_reference,none
DD2,parent_reference,none
7G8,parent_reference,none
GB4,parent_reference,none
803,parent_reference,none
ERR019061,progny_short,3D7xHB3
ERR019054,progny_short,3D7xHB3
ERR019067,progny_short,3D7xHB3
ERR019062,progny_short,3D7xHB3
ERR019066,progny_short,3D7xHB3
ERR019068,progny_short,3D7xHB3
ERR019069,progny_short,3D7xHB3
ERR019063,progny_short,3D7xHB3
ERR019058,progny_short,3D7xHB3
ERR019059,progny_short,3D7xHB3
ERR019070,progny_short,3D7xHB3
ERR019060,progny_short,3D7xHB3
ERR019071,progny_short,3D7xHB3
ERR019064,progny_short,3D7xHB3
ERR019072,progny_short,3D7xHB3
ERR019073,progny_short,3D7xHB3
ERR019065,progny_short,3D7xHB3
ERR019055,progny_short,3D7xHB3
ERR019056,progny_short,3D7xHB3
ERR019074,progny_short,3D7xHB3
ERR012788,progny_short,HB3xDD2
ERR012840,progny_short,HB3xDD2
ERR019044,progny_short,HB3xDD2
ERR012895,progny_short,HB3xDD2
ERR019050,progny_short,HB3xDD2
ERR019042,progny_short,HB3xDD2
ERR019051,progny_short,HB3xDD2
ERR019052,progny_short,HB3xDD2
ERR015447,progny_short,HB3xDD2
ERR019053,progny_short,HB3xDD2
ERR015450,progny_short,HB3xDD2
ERR019046,progny_short,HB3xDD2
ERR015458,progny_short,HB3xDD2
ERR019047,progny_short,HB3xDD2
ERR015451,progny_short,HB3xDD2
ERR015457,progny_short,HB3xDD2
ERR015454,progny_short,HB3xDD2
ERR107475,progny_short,HB3xDD2
ERR015446,progny_short,HB3xDD2
ERR015448,progny_short,HB3xDD2
ERR015459,progny_short,HB3xDD2
ERR019043,progny_short,HB3xDD2
ERR012892,progny_short,HB3xDD2
ERR107476,progny_short,HB3xDD2
ERR015452,progny_short,HB3xDD2
ERR019049,progny_short,HB3xDD2
ERR027112,progny_short,7G8xGB4
ERR045636,progny_short,7G8xGB4
ERR029092,progny_short,7G8xGB4
ERR045638,progny_short,7G8xGB4
ERR027102,progny_short,7G8xGB4
ERR045637,progny_short,7G8xGB4
ERR027103,progny_short,7G8xGB4
ERR045633,progny_short,7G8xGB4
ERR029093,progny_short,7G8xGB4
ERR027099,progny_short,7G8xGB4
ERR027100,progny_short,7G8xGB4
ERR029091,progny_short,7G8xGB4
ERR027111,progny_short,7G8xGB4
ERR027116,progny_short,7G8xGB4
ERR027117,progny_short,7G8xGB4
ERR029105,progny_short,7G8xGB4
ERR027106,progny_short,7G8xGB4
ERR045632,progny_short,7G8xGB4
ERR027107,progny_short,7G8xGB4
ERR027108,progny_short,7G8xGB4
ERR027109,progny_short,7G8xGB4
ERR027110,progny_short,7G8xGB4
ERR029146,progny_short,7G8xGB4
ERR029404,progny_short,7G8xGB4
ERR029147,progny_short,7G8xGB4
ERR029143,progny_short,7G8xGB4
ERR045635,progny_short,7G8xGB4
ERR029148,progny_short,7G8xGB4
ERR029144,progny_short,7G8xGB4
ERR045628,progny_short,7G8xGB4
ERR029408,progny_short,7G8xGB4
ERR029405,progny_short,7G8xGB4
ERR171454,progny_short,7G8xGB4
ERR029409,progny_short,7G8xGB4
ERR045634,progny_short,7G8xGB4
ERR029406,progny_short,7G8xGB4
ERR045626,progny_short,7G8xGB4
ERR570006,progny_short,803xGB4
ERR570014,progny_short,803xGB4
ERR570030,progny_short,803xGB4
ERR570038,progny_short,803xGB4
ERR656280,progny_short,803xGB4
ERR656283,progny_short,803xGB4
ERR656289,progny_short,803xGB4
ERR656292,progny_short,803xGB4
ERR656298,progny_short,803xGB4
ERR570015,progny_short,803xGB4
ERR570039,progny_short,803xGB4
ERR656281,progny_short,803xGB4
ERR656284,progny_short,803xGB4
ERR656287,progny_short,803xGB4
ERR656290,progny_short,803xGB4
ERR656293,progny_short,803xGB4
ERR656296,progny_short,803xGB4
ERR656299,progny_short,803xGB4
ERR570008,progny_short,803xGB4
ERR570016,progny_short,803xGB4
ERR570032,progny_short,803xGB4
ERR570040,progny_short,803xGB4
ERR656282,progny_short,803xGB4
ERR656285,progny_short,803xGB4
ERR656288,progny_short,803xGB4
ERR656291,progny_short,803xGB4
ERR656294,progny_short,803xGB4
ERR656297,progny_short,803xGB4
ERR905451,progny_short,803xGB4
ERR905453,progny_short,803xGB4
ERR905454,progny_short,803xGB4
ERR905455,progny_short,803xGB4
ERR905457,progny_short,803xGB4
ERR905458,progny_short,803xGB4
ERR905459,progny_short,803xGB4
ERR905460,progny_short,803xGB4
ERR905461,progny_short,803xGB4
ERR905462,progny_short,803xGB4
ERR905463,progny_short,803xGB4
ERR905464,progny_short,803xGB4
ERR905468,progny_short,803xGB4
ERR905469,progny_short,803xGB4
ERR905470,progny_short,803xGB4
ERR905473,progny_short,803xGB4
